      Step     Time          Energy         fmax
BFGS:    0 16:24:16    -5640.600791       12.3097
BFGS:    1 16:24:59    -5649.195216        4.3197
BFGS:    2 16:25:41    -5651.311467        2.9458
BFGS:    3 16:26:23    -5651.350001        4.3708
BFGS:    4 16:27:06    -5652.203175        1.0047
BFGS:    5 16:27:50    -5652.261083        0.2777
BFGS:    6 16:28:32    -5652.268073        0.1061
BFGS:    7 16:29:09    -5652.270098        0.0992
BFGS:    8 16:29:41    -5652.273868        0.0525
BFGS:    9 16:30:14    -5652.274399        0.0410
      Step     Time          Energy         fmax
BFGS:    0 16:31:07     -470.331806        0.2177
BFGS:    1 16:31:22     -470.332312        0.1354
BFGS:    2 16:31:37     -470.332860        0.1197
BFGS:    3 16:31:55     -470.333383        0.1229
BFGS:    4 16:32:14     -470.333630        0.0604
BFGS:    5 16:32:32     -470.333721        0.0371
Cohesive energy (kcal/mol):  -15.89206477312334
